id_reserva;cliente_nombre;dni_pasaporte;telefono;correo;paquete_tour;fecha_viaje;precio_soles;metodo_pago;guia_asignado;fuente_no_estructurada;procesamiento_aplicado;resultado_extraido;estado_procesamiento
RES-101;Guillermo Vargas Mamani;46913810;933218196;guillermo.vargas@gmail.com;Máncora Playas;07/05/2026;S/ 880.00;Plin;Jorge Benítez;Chat WhatsApp (Texto);NLP Sentimiento;Volveríamos sin dudarlo;Positivo (0.95)
RES-102;Carlos Fernández Vega;55667651;942351161;cfernandez@outlook.com;Cusco - Machu Picchu;15/09/2026;S/ 2,055.00;Yape;Ana Torres;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 2055.00 | Op: 84959;Validado
RES-103;José Torres Huamán;98753260;934131647;jtorres@hotmail.com;Paracas y Huacachina;08/07/2026;S/ 390.00;Transferencia;Carlos Mendoza;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 390.00 | Op: 83276;Validado
RES-104;Patricia Cabrera Núñez;39476249;950305641;pcabrera@hotmail.com;Iquitos Amazónico;26/08/2026;S/ 1,535.00;Yape;Luis Alvarado;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 1535.00 | Op: 88496;Validado
RES-105;Jhoana Sánchez Rivera;39436733;928710122;jhoana_sanchez@gmail.com;Full Day Lunahuaná;28/08/2026;S/ 105.00;Plin;Jorge Benítez;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 105.00 | Op: 18451;Validado
RES-106;Manuel Vega Fernández;70897765;904828148;manuelvega78@hotmail.com;Paracas y Huacachina;16/09/2026;S/ 555.00;Efectivo;Jorge Benítez;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 555.00 | Op: 95701;Validado
RES-107;Milagros Zúñiga Espinoza;17774584;939117182;milagros_zuniga@hotmail.com;Huaraz Laguna 69;17/08/2026;S/ 205.00;Efectivo;Jorge Benítez;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 205.00 | Op: 46578;Validado
RES-108;Julio Vargas Espinoza;40158366;915098393;julio.vargas@gmail.com;Máncora Playas;09/05/2026;S/ 680.00;Transferencia;Carlos Mendoza;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 680.00 | Op: 47382;Validado
RES-109;Iván Bardales Bardales;73440831;937631165;ivan_bardales@yahoo.com;Cusco - Machu Picchu;26/05/2026;S/ 1,960.00;Yape;María Castillo;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 1960.00 | Op: 33387;Validado
RES-110;Diego Vega Alvarado;47385696;973178108;diego.vega@hotmail.com;Tarapoto Selva;01/09/2026;S/ 1,400.00;Yape;Ana Torres;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 1400.00 | Op: 26064;Validado
RES-111;Cynthia Aguilar Vega;84593961;972343098;caguilar@gmail.com;Cusco - Machu Picchu;06/09/2026;S/ 1,815.00;Efectivo;Jorge Benítez;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 1815.00 | Op: 08121;Validado
RES-112;Alexander Torres Espinoza;64193837;919399091;atorres@outlook.com;Máncora Playas;20/07/2026;S/ 1,405.00;Yape;Ana Torres;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 1405.00 | Op: 47510;Validado
RES-113;Cynthia Delgado Bardales;23419256;918384251;cdelgado@outlook.com;Tarapoto Selva;17/09/2026;S/ 1,440.00;Transferencia;Jorge Benítez;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 1440.00 | Op: 84124;Validado
RES-114;Fernanda Ramírez Núñez;30863865;944935348;framirez@gmail.com;Full Day Antioquía;10/07/2026;S/ 120.00;Yape;María Castillo;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 120.00 | Op: 42786;Validado
RES-115;Roxana Quispe Vargas;20099059;928059826;roxana.quispe@outlook.com;Paracas y Huacachina;11/05/2026;S/ 610.00;Transferencia;Luis Alvarado;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 610.00 | Op: 15869;Validado
RES-116;Alejandra Gonzales Espinoza;31810617;926025634;alejandra.gonzales@yahoo.com;Cusco - Machu Picchu;26/06/2026;S/ 2,265.00;Yape;Ana Torres;Chat WhatsApp (Audio);NLP Sentimiento;Superó mis expectativas;Positivo (0.95)
RES-117;Ricardo Mamani Castillo;63481198;954145868;ricardo.mamani@gmail.com;Huaraz Laguna 69;07/07/2026;S/ 150.00;Yape;Jorge Benítez;Chat WhatsApp (Texto);NLP Sentimiento;Muy buena atención;Positivo (0.95)
RES-118;Pilar Tello Vela;25521714;969340608;pilartello69@outlook.com;Full Day Lunahuaná;24/07/2026;S/ 90.00;Plin;Carlos Mendoza;Chat WhatsApp (Audio);NLP Sentimiento;El paisaje fue espectacular;Positivo (0.95)
RES-119;Fernando Sánchez Aguilar;84411983;923662994;fernando.sanchez@outlook.com;Huaraz Laguna 69;26/09/2026;S/ 155.00;Plin;María Castillo;Chat WhatsApp (Texto);NLP Sentimiento;Superó mis expectativas;Positivo (0.95)
RES-120;Hernán Cruz Fernández;98429450;914895134;hernancruz29@hotmail.com;Cusco - Machu Picchu;30/08/2026;S/ 925.00;Plin;Carlos Mendoza;Chat WhatsApp (Texto);NLP Sentimiento;Superó mis expectativas;Positivo (0.95)
RES-121;Melissa Benites Del Águila;63640499;932016328;melissa.benites@hotmail.com;Full Day Antioquía;27/08/2026;S/ 110.00;Transferencia;Jorge Benítez;Chat WhatsApp (Audio);NLP Sentimiento;El guía no explicó mucho;Negativo (0.20)
RES-122;Vanessa Vela Vega;83534128;972774348;vanessavela63@outlook.com;Iquitos Amazónico;13/07/2026;S/ 1,025.00;Yape;María Castillo;Chat WhatsApp (Audio);NLP Sentimiento;El tour estuvo bien;Neutro (0.50)
RES-123;Diego Gonzales Salazar;61410126;923166587;diego.gonzales@hotmail.com;Full Day Lunahuaná;27/09/2026;S/ 105.00;Efectivo;Carlos Mendoza;Chat WhatsApp (Texto);NLP Sentimiento;Muy buena atención;Positivo (0.95)
RES-124;Karen Benites Palomino;82238741;989373467;karen_benites@outlook.com;Full Day Lunahuaná;28/08/2026;S/ 125.00;Efectivo;Jorge Benítez;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 125.00 | Op: 69901;Validado
RES-125;Mariana Vega Chávez;71968116;920465375;mariana_vega@outlook.com;Full Day Lunahuaná;21/05/2026;S/ 100.00;Plin;Jorge Benítez;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 100.00 | Op: 53100;Validado
RES-126;Lucía Castillo Mamani;93394260;923271937;lcastillo@outlook.com;Tarapoto Selva;30/05/2026;S/ 1,670.00;Transferencia;Luis Alvarado;Chat WhatsApp (Audio);NLP Sentimiento;Excelente tour;Positivo (0.95)
